BusinessAge, AnnualRevenue, ExistingLoan, NoOfEmployees, ProfitMargin, LoanAmountRequested, IndustryRisk, DebttoIncomeRatio, LoanTenure, LoanToRevenueRatio, LoanDefault
          7,        419000,            1,            48,         7.53,              164000,            2,              95.0,         41,              39.14,           1
          4,        227000,            0,            36,        21.49,               89000,            3,              62.0,          0,              39.21,           1
         13,        251000,            0,             1,        17.28,               89000,            2,              36.0,          0,              35.46,           0
         15,        378000,            0,            27,        27.7 ,               62000,            1,              44.0,          0,              16.4 ,           0
         11,        211000,            0,            45,        25.44,               25000,            1,              57.0,          0,              11.85,           1
          8,         79000,            0,            40,        22.62,               27000,            1,              77.0,          0,              34.18,           0
         13,         83000,            0,            38,         6.42,               16000,            2,              58.0,          0,              19.28,           0
          5,        102000,            0,            29,        20.98,               21000,            3,              35.0,          0,              20.59,           0
          7,        441000,            1,            40,        21.74,               54000,            3,              63.0,         29,              12.24,           1
         10,        263000,            0,            19,        23.61,               83000,            1,              47.0,          0,              31.56,           1
          3,        371000,            0,            24,        10.1 ,               85000,            1,              52.0,          0,              22.91,           1
          7,        227000,            1,            44,        20.29,               37000,            1,              64.0,         29,              16.3 ,           1
         11,        166000,            0,             1,        19.69,               49000,            2,              42.0,          0,              29.52,           0
         11,        206000,            0,            36,        13.4 ,               81000,            2,              72.0,          0,              39.32,           1
          8,        407000,            0,            23,        20.91,              102000,            1,              40.0,          0,              25.06,           1
          5,        331000,            0,            13,         5.34,               93000,            2,              52.0,          0,              28.1 ,           1
          4,        472000,            0,            30,        20.37,               70000,            2,              36.0,          0,              14.83,           1
          8,        356000,            0,            49,        19.36,               53000,            2,              46.0,          0,              14.89,           1
          8,        307000,            0,            37,         8.69,               73000,            1,              61.0,          0,              23.78,           0
          3,        325000,            0,            11,        25.09,              115000,            2,              65.0,          0,              35.38,           1
          6,        474000,            1,             7,        26.61,              177000,            2,              92.0,         39,              37.34,           1
          5,        405000,            0,            35,         8.68,              118000,            1,              64.0,          0,              29.14,           1
          2,         61000,            0,            11,         5.05,               13000,            1,              48.0,          0,              21.31,           0
          8,        290000,            1,            49,        19.3 ,               94000,            3,              52.0,         17,              32.41,           1
         12,        360000,            0,            43,        15.96,               68000,            1,              51.0,          0,              18.89,           1
         14,        387000,            0,            47,        14.55,               64000,            1,              23.0,          0,              16.54,           1
          6,        146000,            0,            40,        23.55,               49000,            1,              78.0,          0,              33.56,           1
          2,        440000,            0,            48,        29.18,              143000,            1,              43.0,          0,              32.5 ,           1
         12,        480000,            0,            21,        15.9 ,              175000,            1,              50.0,          0,              36.46,           1
          5,        157000,            0,            47,         3.17,               43000,            1,              28.0,          0,              27.39,           1
          1,        447000,            1,             3,        19.1 ,              165000,            3,             101.0,         38,              36.91,           1
         12,         94000,            0,            30,        20.66,               10000,            3,              50.0,          0,              10.64,           1
         10,         75000,            0,            24,        25.36,               13000,            2,              38.0,          0,              17.33,           0
          6,        108000,            0,            38,         8.38,               37000,            2,              32.0,          0,              34.26,           1
         13,         76000,            0,             3,        17.16,               17000,            2,              59.0,          0,              22.37,           0
         12,        430000,            0,            37,        15.07,               74000,            2,              46.0,          0,              17.21,           1
          9,         77000,            0,            33,        20.94,               26000,            3,              39.0,          0,              33.77,           1
          1,        172000,            0,            22,         4.73,               60000,            3,              21.0,          0,              34.88,           1
         11,         97000,            0,            31,        26.87,               23000,            2,              22.0,          0,              23.71,           0
         11,        183000,            1,            46,        16.8 ,               44000,            2,              78.0,         10,              24.04,           1
         15,         91000,            1,            12,        26.68,               30000,            1,              62.0,         30,              32.97,           1
         10,        351000,            0,            45,        12.19,              116000,            1,              71.0,          0,              33.05,           0
         12,        110000,            1,            14,        20.65,               40000,            1,              89.0,         38,              36.36,           1
         12,        433000,            0,            12,        28.83,              127000,            1,              54.0,          0,              29.33,           0
         15,        418000,            1,            27,        28.47,               65000,            3,              83.0,         20,              15.55,           1
         14,         56000,            0,            13,        28.49,               15000,            3,              65.0,          0,              26.79,           1
         14,        453000,            0,            24,         4.16,               97000,            1,              64.0,          0,              21.41,           0
         15,         63000,            1,            38,        13.88,                7000,            1,              68.0,         17,              11.11,           0
         14,        158000,            0,            47,         4.64,               25000,            1,              26.0,          0,              15.82,           0
          3,         65000,            1,            48,        11.36,               11000,            3,              86.0,         27,              16.92,           1
         12,        201000,            0,             9,         7.71,               25000,            3,              33.0,          0,              12.44,           1
          7,        281000,            0,             8,        19.74,               66000,            1,              67.0,          0,              23.49,           1
          4,        408000,            0,            37,        24.08,              103000,            2,              57.0,          0,              25.25,           1
          9,        202000,            1,            15,        16.86,               41000,            2,              66.0,         53,              20.3 ,           1
          3,        367000,            0,             7,        24.48,               82000,            1,              71.0,          0,              22.34,           1
          5,        134000,            0,            24,         3.35,               35000,            1,              61.0,          0,              26.12,           1
          3,        388000,            1,            49,        25.15,               53000,            1,              72.0,         27,              13.66,           1
          7,        156000,            1,            16,         7.82,               42000,            1,              50.0,         55,              26.92,           0
          5,        115000,            1,            24,        15.45,               36000,            2,              91.0,         38,              31.3 ,           1
          9,        133000,            0,            43,        14.95,               48000,            1,              70.0,          0,              36.09,           1
          7,        132000,            1,             7,        26.58,               25000,            3,              49.0,         18,              18.94,           1
          2,        281000,            1,            43,        29.08,               91000,            1,              85.0,         30,              32.38,           1
          4,        430000,            1,            28,         9.89,              121000,            1,              38.0,         45,              28.14,           0
          9,         86000,            0,             2,         4.82,               22000,            1,              35.0,          0,              25.58,           1
         12,        368000,            0,            34,        20.56,              138000,            3,              77.0,          0,              37.5 ,           1
         14,        344000,            0,            38,        16.58,               98000,            3,              72.0,          0,              28.49,           1
          2,        443000,            0,             3,        18.27,               93000,            3,              56.0,          0,              20.99,           1
         10,        160000,            0,             1,         4.25,               50000,            1,              62.0,          0,              31.25,           1
          9,        253000,            0,            31,        23.93,               98000,            2,              25.0,          0,              38.74,           1
         10,        467000,            0,            23,         9.27,              175000,            1,              40.0,          0,              37.47,           0
          5,        347000,            0,            20,        12.04,              137000,            1,              39.0,          0,              39.48,           1
          2,        225000,            0,            16,         9.17,               29000,            1,              22.0,          0,              12.89,           0
          4,        109000,            0,            46,        28.54,               25000,            1,              62.0,          0,              22.94,           1
         12,        168000,            1,            32,         7.56,               39000,            1,              50.0,         47,              23.21,           1
         15,        312000,            0,            17,        22.77,               67000,            1,              58.0,          0,              21.47,           1
         12,        373000,            0,            18,         9.64,               57000,            1,              22.0,          0,              15.28,           1
          7,        106000,            0,             4,        14.47,               37000,            3,              20.0,          0,              34.91,           1
         12,        320000,            0,            35,        29.89,               97000,            2,              30.0,          0,              30.31,           0
         13,        298000,            1,            40,         5.72,               84000,            1,              90.0,         54,              28.19,           1
          8,        281000,            0,            36,        26.8 ,               66000,            3,              56.0,          0,              23.49,           1
         15,        361000,            0,            23,        28.54,               78000,            1,              32.0,          0,              21.61,           0
          3,        427000,            0,            15,        21.85,              143000,            1,              51.0,          0,              33.49,           1
