Business Age (years), Annual Revenue (RM), Credit Score, Loan Amount Requested (RM), Loan Term (months), Monthly Repayment (RM), Repayment Status
                   7,             3728000,          850,                    1431000,                 24,                  65567,                1
                  20,             1632000,          850,                     272000,                 36,                   8700,                1
                  15,             2137000,          850,                     881000,                 24,                  40383,                1
                  11,             4543000,          850,                    1515000,                 12,                 132568,                0
                   8,             4906000,          850,                    2359000,                 12,                 206452,                0
                   7,             2799000,          850,                     327000,                 24,                  15006,                1
                  19,             1047000,          850,                     216000,                 36,                   6891,                1
                  11,              821000,          850,                     280000,                 48,                   6993,                1
                  11,             2652000,          850,                     580000,                 12,                  50724,                1
                   4,             1428000,          763,                     551000,                 24,                  25252,                1
                   8,             4159000,          850,                    1679000,                 12,                 146875,                0
                   3,             2954000,          749,                     416000,                 12,                  36440,                1
                   2,             3415000,          781,                    1043000,                 36,                  33328,                1
                  12,             4028000,          850,                    1223000,                 36,                  39063,                1
                   6,             4627000,          850,                    1146000,                 12,                 100299,                0
                   2,             2241000,          799,                    1061000,                 24,                  48609,                0
                   1,             1095000,          752,                     472000,                 12,                  41313,                0
                  12,             1345000,          850,                     510000,                 48,                  12742,                1
                  12,             4053000,          850,                    1563000,                 60,                  32567,                1
                  17,              620000,          850,                     177000,                 12,                  15455,                0
                  10,               70000,          850,                      33000,                 24,                   1498,                0
                  16,             1017000,          850,                     384000,                 48,                   9609,                1
                  15,             2905000,          850,                    1138000,                 60,                  23699,                1
                  15,             2462000,          850,                    1095000,                 24,                  50181,                1
                  19,             3402000,          850,                     713000,                 12,                  62405,                1
                  12,             3783000,          850,                    1599000,                 12,                 139955,                0
                  20,             1089000,          850,                     194000,                 36,                   6194,                1
                   3,             3348000,          821,                     797000,                 24,                  36537,                1
                   5,             2929000,          820,                     686000,                 12,                  60025,                1
                  19,             3631000,          850,                    1784000,                 36,                  56997,                1
                   7,             4378000,          850,                    1938000,                 12,                 169549,                0
                   9,             4007000,          788,                    1524000,                 36,                  48695,                1
                   7,             4147000,          810,                    1621000,                 24,                  74283,                1
                  18,              314000,          850,                     102000,                 12,                   8930,                0
                   4,             3369000,          749,                    1613000,                 36,                  51536,                1
                  14,             2744000,          850,                     819000,                 24,                  37545,                1
                  18,             1716000,          850,                     433000,                 60,                   9018,                1
                   9,             4671000,          850,                     772000,                 36,                  24652,                1
                   2,              638000,          752,                     265000,                 24,                  12127,                1
                  20,              754000,          850,                     297000,                 36,                   9480,                1
                  15,             1356000,          850,                     344000,                 24,                  15765,                1
                   7,             4142000,          840,                     456000,                 60,                   9498,                1
                  12,             2709000,          850,                    1180000,                 24,                  54093,                1
                   8,             1650000,          848,                     172000,                 36,                   5510,                1
                  15,             3994000,          850,                    1523000,                 12,                 133305,                0
                   3,             4545000,          806,                    2218000,                 24,                 101678,                0
                  14,             4102000,          850,                    1128000,                 48,                  28206,                1
                  17,             1285000,          850,                     249000,                 48,                   6231,                1
                   4,             1675000,          825,                     640000,                 24,                  29328,                1
                  18,             2015000,          850,                     860000,                 24,                  39420,                1
                   8,             3499000,          850,                    1115000,                 48,                  27864,                1
                   4,             1177000,          725,                     573000,                 60,                  11939,                1
                   2,             3561000,          653,                     430000,                 12,                  37598,                1
                   6,             4113000,          850,                    1242000,                 24,                  56917,                1
                  10,             2331000,          828,                     903000,                 24,                  41383,                1
                   4,             1836000,          792,                     817000,                 48,                  20427,                1
                  18,             4897000,          850,                     841000,                 12,                  73568,                1
                  12,             3146000,          839,                    1321000,                 24,                  60558,                1
                   2,             4093000,          809,                    1314000,                 36,                  41981,                1
                  10,             2653000,          850,                     686000,                 12,                  60034,                0
                   4,             3489000,          781,                     533000,                 24,                  24413,                1
                  14,              126000,          797,                      56000,                 24,                   2580,                1
                  16,              820000,          850,                     134000,                 24,                   6122,                1
                  15,             2597000,          850,                     581000,                 24,                  26649,                1
                   8,             4723000,          799,                    1020000,                 36,                  32589,                1
                  14,             4706000,          850,                    2111000,                 12,                 184722,                0
                   8,             3530000,          850,                    1303000,                 36,                  41620,                1
                  16,             3236000,          850,                    1355000,                 48,                  33867,                1
                  13,             1778000,          850,                     356000,                 36,                  11370,                1
                  18,              398000,          850,                     139000,                 12,                  12178,                0
                  15,              522000,          850,                     172000,                 12,                  15022,                0
                  13,             2745000,          850,                    1189000,                 24,                  54492,                1
                   9,             4279000,          850,                    1979000,                 24,                  90697,                0
                  15,             1972000,          850,                     207000,                 24,                   9478,                1
                  13,             1028000,          850,                     380000,                 36,                  12137,                1
                   1,              950000,          708,                     115000,                 12,                  10034,                1
                   7,              659000,          830,                     210000,                 12,                  18418,                0
                   9,             3053000,          850,                     657000,                 24,                  30090,                1
                   1,             4561000,          699,                    1016000,                 36,                  32450,                1
                  12,              550000,          831,                     133000,                 12,                  11604,                0
                   8,             2012000,          850,                     701000,                 36,                  22401,                1
                  11,              661000,          850,                     154000,                 24,                   7079,                1
                  19,              819000,          850,                     322000,                 48,                   8045,                1
                  17,             4291000,          850,                    1124000,                 48,                  28088,                1
                   8,             1889000,          834,                     241000,                 24,                  11027,                1
                   3,             3722000,          850,                    1539000,                 24,                  70544,                1
                   3,             2077000,          824,                     445000,                 24,                  20396,                1
                   1,             4953000,          744,                    1353000,                 24,                  61999,                1
                   5,             4389000,          850,                    1642000,                 36,                  52464,                1
                  10,             1542000,          850,                     359000,                 48,                   8982,                1
                   7,             3577000,          850,                     439000,                 36,                  14011,                1
                   9,              452000,          850,                     113000,                 48,                   2819,                1
                   7,             2059000,          850,                     984000,                 24,                  45087,                0
                   9,             4505000,          850,                    1607000,                 12,                 140610,                0
                   8,              138000,          839,                      51000,                 36,                   1624,                1
                  12,             3866000,          850,                    1365000,                 24,                  62540,                1
                   2,             3427000,          803,                     615000,                 36,                  19658,                1
                   1,             1988000,          726,                     531000,                 24,                  24357,                1
                  16,             4452000,          850,                    1783000,                 12,                 155976,                0
                   5,             2135000,          827,                     300000,                 60,                   6252,                1
                   3,             2526000,          774,                     533000,                 12,                  46658,                1
